timestamp,open,high,low,close
2020-03-13,0.0036,0.0037,0.0036,0.0036
2020-03-12,0.0035,0.0037,0.0035,0.0036
2020-03-11,0.0035,0.0036,0.0035,0.0035
2020-03-10,0.0035,0.0036,0.0035,0.0035
2020-03-09,0.0035,0.0036,0.0034,0.0035
2020-03-08,0.0034,0.0035,0.0034,0.0035
2020-03-07,0.0034,0.0034,0.0034,0.0034
2020-03-06,0.0034,0.0035,0.0034,0.0034
2020-03-05,0.0034,0.0034,0.0034,0.0034
2020-03-04,0.0034,0.0034,0.0034,0.0034
2020-03-03,0.0034,0.0035,0.0034,0.0034
2020-03-02,0.0034,0.0035,0.0034,0.0034
2020-03-01,0.0034,0.0034,0.0034,0.0034
2020-02-28,0.0034,0.0035,0.0034,0.0034
2020-02-27,0.0034,0.0034,0.0033,0.0034
2020-02-26,0.0033,0.0034,0.0033,0.0034
2020-02-25,0.0033,0.0034,0.0033,0.0033
2020-02-24,0.0033,0.0033,0.0033,0.0033
2020-02-23,0.0033,0.0033,0.0033,0.0033
2020-02-21,0.0033,0.0033,0.0033,0.0033
2020-02-20,0.0033,0.0033,0.0033,0.0033
2020-02-19,0.0033,0.0033,0.0033,0.0033
2020-02-18,0.0033,0.0033,0.0033,0.0033
2020-02-17,0.0033,0.0033,0.0033,0.0033
2020-02-16,0.0033,0.0033,0.0033,0.0033
2020-02-15,0.0033,0.0033,0.0033,0.0033
2020-02-14,0.0033,0.0033,0.0033,0.0033
2020-02-13,0.0033,0.0033,0.0033,0.0033
2020-02-12,0.0033,0.0033,0.0033,0.0033
2020-02-11,0.0033,0.0033,0.0033,0.0033
2020-02-10,0.0033,0.0033,0.0033,0.0033
2020-02-09,0.0033,0.0033,0.0033,0.0033
2019-10-28,0.0033,0.0033,0.0033,0.0033
2019-10-27,0.0033,0.0033,0.0033,0.0033
